"","logFC","logCPM","LR","PValue","FDR"
"oases3_k25_Locus_52353_Transcript_5_1",9.41026002446964,6.08332762137103,78.2344620762214,9.15080610309834e-19,2.53422424219206e-14
"oases6_k25_Locus_6897_Transcript_5_2",7.01663086440556,8.21607963702251,54.4803631852476,1.57008927243015e-13,2.12653964046342e-09
"oases3_k49_Locus_48413_Transcript_4_1",7.11063399154435,7.92544044752336,53.7271225108906,2.30361050097142e-13,2.12653964046342e-09
"oases2_k43_Locus_20622_Transcript_5_1",7.48232149938677,7.00335733749102,52.8710030252913,3.56189396074195e-13,2.46607728371969e-09
"oases2_k49_Locus_33714_Transcript_2_1",7.22134051416016,5.25200926372175,43.3601907764671,4.5535853287829e-11,1.91986333040771e-07
"oases6_k49_Locus_2739_Transcript_5_1",5.94791218940804,5.70245798273319,43.2543815178957,4.80660169770304e-11,1.91986333040771e-07
"oases6_k49_Locus_58445_Transcript_2_1",6.39634454042865,6.27892307089799,43.2357090475352,4.85269130961723e-11,1.91986333040771e-07
"oases6_k25_Locus_27954_Transcript_3_1",6.05294027830102,6.18601078573697,42.8373048869266,5.94868741169692e-11,2.05928686474418e-07
"oases3_k25_Locus_54713_Transcript_9_1",6.16186238885036,5.15013198946487,42.3832317053979,7.50305674957962e-11,2.30877392914287e-07
"oases6_k31_Locus_25424_Transcript_1_1",7.72368941090501,4.60085575637531,41.1412737184073,1.41614095234145e-10,3.79867646129571e-07
"oases6_k37_Locus_5849_Transcript_9_1",8.88769545384248,4.37964041492588,41.0173651090493,1.50882649939528e-10,3.79867646129571e-07
"oases2_CL1131Contig1_1",6.63054677935081,5.89981142895463,40.670939674682,1.80146416216437e-10,4.15747904224833e-07
"oases3_k25_Locus_52753_Transcript_1_1",9.34815266725155,3.7031848413745,39.9654861620385,2.58490065935443e-10,5.13772765897523e-07
"oases3_CL21094Contig1_1",10.9124156894816,4.53749859151387,39.9561779545624,2.5972480402128e-10,5.13772765897523e-07
"oases3_k49_Locus_38780_Transcript_5_1",7.85753449920281,4.65572538843684,39.6001662006725,3.11656774713225e-10,5.36172780488648e-07
"oases6_k31_Locus_3792_Transcript_10_2",6.23441075059249,8.4173715175468,39.587212939257,3.13730811995614e-10,5.36172780488648e-07
"oases3_k31_Locus_32529_Transcript_1_1",8.88968094654021,2.67479440283401,39.4418416232251,3.3797683074115e-10,5.36172780488648e-07
"oases2_k25_Locus_50568_Transcript_1_1",7.00966107662667,6.85860953587354,39.3820205433028,3.48491010644748e-10,5.36172780488648e-07
"oases3_k31_Locus_2387_Transcript_6_1",6.68749425868154,5.44112123380414,37.6811706880786,8.33048064678263e-10,1.21423332122104e-06
"oases3_k43_Locus_24204_Transcript_8_1",6.50398064921194,3.93366934963477,37.2622879894221,1.03262277115658e-09,1.42987275122051e-06
"oases6_k37_Locus_56172_Transcript_1_1",9.23759686193341,3.81682683297194,36.6733222812676,1.39677896198214e-09,1.84201888443492e-06
"oases3_k49_Locus_49692_Transcript_1_1",6.6636614965562,4.68671078250563,36.3734326602733,1.62908759453424e-09,2.05072508377415e-06
"oases2_k25_Locus_49164_Transcript_1_1",6.52828667685545,5.92232047703865,35.9617668014973,2.01227488200646e-09,2.4229539383603e-06
"oases2_CL3315Contig1_1",9.04569952700763,6.85511626659464,35.7069026542945,2.29349935877441e-09,2.6465071350791e-06
"oases3_CL19994Contig1_1",5.68331157990908,7.08888386996698,35.2221206497779,2.94163186180895e-09,3.17608794433459e-06
"oases6_k49_Locus_57889_Transcript_1_1",7.26527409723291,4.89801558732558,35.1957004409454,2.9818114592583e-09,3.17608794433459e-06
"oases3_k43_Locus_3424_Transcript_84_3",7.0759005659115,5.66903816299752,34.7944502406542,3.6641647642742e-09,3.75834736969665e-06
"oases3_k37_Locus_49374_Transcript_9_1",6.64270096498702,4.6580169004321,34.5177131327168,4.22389976910018e-09,4.17773857876644e-06
"oases6_k43_Locus_47940_Transcript_1_1",6.71225558626572,5.14635602660681,34.44117967975,4.39329168363279e-09,4.19544206505264e-06
"oases3_CL20544Contig1_1",6.55609321992967,4.92543332684932,34.1687066095082,5.05351032916895e-09,4.66506383520017e-06
"oases6_k37_Locus_60082_Transcript_1_1",8.69457323230758,4.3483645974758,33.5395239465202,6.98304717175724e-09,6.23833897982726e-06
"oases6_k49_Locus_12143_Transcript_7_2",6.0174792509926,6.52884661462088,33.436481906271,7.36297707702706e-09,6.37219647409961e-06
"oases6_k43_Locus_5772_Transcript_3_2",6.90548641170345,4.145197106592,33.0848712841448,8.82225037064685e-09,7.40373944741497e-06
"oases6_k49_Locus_58223_Transcript_3_1",8.01585732154668,3.85953494474012,32.8716502150806,9.84485243528512e-09,8.01892186302312e-06
