"","logFC","logCPM","LR","PValue","FDR"
"oases6_CL29Contig9_1",-5.5353716847506,5.76619777728395,35.5879994441537,2.43784758740312e-09,4.97918287071968e-05
"oases2_CL266Contig1_1",-5.59256553184204,4.95243424483986,34.419449326443,4.442615971604e-09,4.97918287071968e-05
"oases6_k31_Locus_390_Transcript_23_1",-9.749173060664,3.79909954061406,34.0419044819311,5.39378515640898e-09,4.97918287071968e-05
"oases3_CL39Contig2_1",-5.73657849045067,7.60278304290552,33.4297114631532,7.38865349141984e-09,5.11553424478453e-05
"oases3_CL153Contig3_2",-5.7094883143079,4.59041073271209,32.9565199094294,9.42431592610448e-09,5.21994010515075e-05
"oases6_CL10402Contig1_2",-6.51108175258768,4.13251590844279,31.7344163362807,1.7676189561964e-08,7.51650368807232e-05
"oases6_k25_Locus_23210_Transcript_3_1",5.40883817287345,6.22834152802622,31.5942746900355,1.89988899460194e-08,7.51650368807232e-05
"oases3_CL13Contig1_5",-4.77776850744705,6.3583771174488,31.2986602404717,2.21232259930477e-08,7.65850775814328e-05
"oases2_CL595Contig1_1",10.0157758569784,3.83241854224182,30.7937371398807,2.86962506253612e-08,8.8301551646528e-05
"oases2_k25_Locus_45065_Transcript_1_1",4.85941714670211,6.26076820690074,30.2065075320355,3.88404058706504e-08,9.86320147295321e-05
"oases3_k49_Locus_9635_Transcript_4_1",-7.79987015094728,4.41577624222872,30.1898004662083,3.91764339577112e-08,9.86320147295321e-05
"oases3_k37_Locus_32702_Transcript_2_1",7.00690966104912,7.27685546371144,29.8064999240342,4.77388763091424e-08,0.000110173370042116
"oases6_CL1059Contig1_1",-5.47071356181064,5.87408010937342,29.5737293178225,5.38295905210338e-08,0.000114673590760731
"oases3_k43_Locus_2118_Transcript_10_1",-5.43426426194188,4.92260632493349,29.1450994979239,6.7155388261929e-08,0.00012407452956503
"oases3_CL2Contig42_1",-5.38670759369252,5.01786208980504,29.0949026593241,6.89180747278515e-08,0.00012407452956503
"oases6_CL45Contig2_2",-5.26892108413853,7.88103684314623,28.9903011712453,7.27415859863277e-08,0.00012407452956503
"oases2_CL10Contig3_1",-4.7485561612608,6.1328501224726,28.9012608108706,7.61633206689357e-08,0.00012407452956503
"oases2_k31_Locus_2225_Transcript_2_1",-6.20955488403496,4.56325050451208,28.7152177896902,8.38422985334723e-08,0.000126332835733929
"oases3_k49_Locus_10794_Transcript_5_1",-6.60958148098311,4.71680285099651,28.6351246741499,8.73826719942756e-08,0.000126332835733929
"oases2_k37_Locus_2321_Transcript_2_1",-6.32330474286642,3.68847419550322,28.5515915310217,9.12348059030324e-08,0.000126332835733929
"oases6_CL2477Contig1_1",-5.23860643034949,4.52998296583341,28.1305762709683,1.13400055505571e-07,0.000144417285060597
"oases6_CL345Contig1_3",-4.61025471275873,5.98574535057812,27.9971999087259,1.21491119947766e-07,0.000144417285060597
"oases6_CL3106Contig1_1",-7.01004051499984,3.61967571513801,27.984829568887,1.22270252765414e-07,0.000144417285060597
"oases2_CL768Contig1_1",-9.92554429796011,3.81134926581213,27.8565830521382,1.30648788410957e-07,0.000144417285060597
"oases2_k37_Locus_2455_Transcript_2_1",-7.3390633720365,5.06894372355713,27.8461352399467,1.31356191516517e-07,0.000144417285060597
"oases3_k49_Locus_10571_Transcript_4_1",-6.98156414145082,4.40167026456051,27.7848527191374,1.35583498648643e-07,0.000144417285060597
"oases6_k25_Locus_14825_Transcript_2_1",-9.09902066705222,2.94530062128486,27.6092971635765,1.48463452673287e-07,0.000151134272320994
"oases2_k37_Locus_708_Transcript_3_1",-6.93715523921702,4.23256470279504,27.5535556553543,1.52804203978762e-07,0.000151134272320994
"oases2_CL3715Contig1_2",-6.65533656698102,4.53787444446421,27.2281806462027,1.80804048524017e-07,0.000164063786129977
"oases2_CL275Contig2_1",-6.56852645901665,4.79503371002919,27.1903885951124,1.84372977010549e-07,0.000164063786129977
